word,isPositive,isNegative
2-faced,0,1
2-faces,0,1
a+,1,0
abnormal,0,1
abolish,0,1
abominable,0,1
abominably,0,1
abominate,0,1
abomination,0,1
abort,0,1
aborted,0,1
aborts,0,1
abound,1,0
abounds,1,0
abrade,0,1
abrasive,0,1
abrupt,0,1
abruptly,0,1
abscond,0,1
absence,0,1
absentee,0,1
absent-minded,0,1
absurd,0,1
absurdity,0,1
absurdly,0,1
absurdness,0,1
abundance,1,0
abundant,1,0
abuse,0,1
abused,0,1
abuses,0,1
abusive,0,1
abysmal,0,1
abysmally,0,1
abyss,0,1
accessable,1,0
accessible,1,0
accidental,0,1
acclaim,1,0
acclaimed,1,0
acclamation,1,0
accolade,1,0
accolades,1,0
accommodative,1,0
accomodative,1,0
accomplish,1,0
accomplished,1,0
accomplishment,1,0
accomplishments,1,0
accost,0,1
accurate,1,0
accurately,1,0
accursed,0,1
accusation,0,1
accusations,0,1
accuse,0,1
accuses,0,1
accusing,0,1
accusingly,0,1
acerbate,0,1
acerbic,0,1
acerbically,0,1
ache,0,1
ached,0,1
aches,0,1
achey,0,1
achievable,1,0
achievement,1,0
achievements,1,0
achievible,1,0
aching,0,1
acrid,0,1
acridly,0,1
acridness,0,1
acrimonious,0,1
acrimoniously,0,1
acrimony,0,1
acumen,1,0
adamant,0,1
adamantly,0,1
adaptable,1,0
adaptive,1,0
addict,0,1
addicted,0,1
addicting,0,1
addicts,0,1
adequate,1,0
adjustable,1,0
admirable,1,0
admirably,1,0
admiration,1,0
admire,1,0
admirer,1,0
admiring,1,0
admiringly,1,0
admonish,0,1
admonisher,0,1
admonishingly,0,1
admonishment,0,1
admonition,0,1
adorable,1,0
adore,1,0
adored,1,0
adorer,1,0
adoring,1,0
adoringly,1,0
adroit,1,0
adroitly,1,0
adulate,1,0
adulation,1,0
adulatory,1,0
adulterate,0,1
adulterated,0,1
adulteration,0,1
adulterier,0,1
advanced,1,0
advantage,1,0
advantageous,1,0
advantageously,1,0
advantages,1,0
adventuresome,1,0
adventurous,1,0
adversarial,0,1
adversary,0,1
adverse,0,1
adversity,0,1
advocate,1,0
advocated,1,0
advocates,1,0
affability,1,0
affable,1,0
affably,1,0
affectation,1,0
affection,1,0
affectionate,1,0
affinity,1,0
affirm,1,0
affirmation,1,0
affirmative,1,0
afflict,0,1
affliction,0,1
afflictive,0,1
affluence,1,0
affluent,1,0
afford,1,0
affordable,1,0
affordably,1,0
affront,0,1
afordable,1,0
afraid,0,1
aggravate,0,1
aggravating,0,1
aggravation,0,1
aggression,0,1
aggressive,0,1
aggressiveness,0,1
aggressor,0,1
aggrieve,0,1
aggrieved,0,1
aggrivation,0,1
aghast,0,1
agile,1,0
agilely,1,0
agility,1,0
agonies,0,1
agonize,0,1
agonizing,0,1
agonizingly,0,1
agony,0,1
agreeable,1,0
agreeableness,1,0
agreeably,1,0
aground,0,1
ail,0,1
ailing,0,1
ailment,0,1
aimless,0,1
alarm,0,1
alarmed,0,1
alarming,0,1
alarmingly,0,1
alienate,0,1
alienated,0,1
alienation,0,1
all-around,1,0
allegation,0,1
allegations,0,1
allege,0,1
allergic,0,1
allergies,0,1
allergy,0,1
alluring,1,0
alluringly,1,0
aloof,0,1
altercation,0,1
altruistic,1,0
altruistically,1,0
amaze,1,0
amazed,1,0
amazement,1,0
amazes,1,0
amazing,1,0
amazingly,1,0
ambiguity,0,1
ambiguous,0,1
ambitious,1,0
ambitiously,1,0
ambivalence,0,1
ambivalent,0,1
ambush,0,1
ameliorate,1,0
amenable,1,0
amenity,1,0
amiability,1,0
amiabily,1,0
amiable,1,0
amicability,1,0
amicable,1,0
amicably,1,0
amiss,0,1
amity,1,0
ample,1,0
amply,1,0
amputate,0,1
amuse,1,0
amusing,1,0
amusingly,1,0
anarchism,0,1
anarchist,0,1
anarchistic,0,1
anarchy,0,1
anemic,0,1
angel,1,0
angelic,1,0
anger,0,1
angrily,0,1
angriness,0,1
angry,0,1
anguish,0,1
animosity,0,1
annihilate,0,1
annihilation,0,1
annoy,0,1
annoyance,0,1
annoyances,0,1
annoyed,0,1
annoying,0,1
annoyingly,0,1
annoys,0,1
anomalous,0,1
anomaly,0,1
antagonism,0,1
antagonist,0,1
antagonistic,0,1
antagonize,0,1
anti-,0,1
anti-american,0,1
anti-israeli,0,1
anti-occupation,0,1
antipathy,0,1
anti-proliferation,0,1
antiquated,0,1
anti-semites,0,1
anti-social,0,1
antithetical,0,1
anti-us,0,1
anti-white,0,1
anxieties,0,1
anxiety,0,1
anxious,0,1
anxiously,0,1
anxiousness,0,1
apathetic,0,1
apathetically,0,1
apathy,0,1
apocalypse,0,1
apocalyptic,0,1
apologist,0,1
apologists,0,1
apotheosis,1,0
appal,0,1
appall,0,1
appalled,0,1
appalling,0,1
appallingly,0,1
appeal,1,0
appealing,1,0
applaud,1,0
appreciable,1,0
appreciate,1,0
appreciated,1,0
appreciates,1,0
appreciative,1,0
appreciatively,1,0
apprehension,0,1
apprehensions,0,1
apprehensive,0,1
apprehensively,0,1
appropriate,1,0
approval,1,0
approve,1,0
arbitrary,0,1
arcane,0,1
archaic,0,1
ardent,1,0
ardently,1,0
ardor,1,0
arduous,0,1
arduously,0,1
argumentative,0,1
arrogance,0,1
arrogant,0,1
arrogantly,0,1
articulate,1,0
ashamed,0,1
asinine,0,1
asininely,0,1
asinininity,0,1
askance,0,1
asperse,0,1
aspersion,0,1
aspersions,0,1
aspiration,1,0
aspirations,1,0
aspire,1,0
assail,0,1
assassin,0,1
assassinate,0,1
assault,0,1
assult,0,1
assurance,1,0
assurances,1,0
assure,1,0
assuredly,1,0
assuring,1,0
astonish,1,0
astonished,1,0
astonishing,1,0
astonishingly,1,0
astonishment,1,0
astound,1,0
astounded,1,0
astounding,1,0
astoundingly,1,0
astray,0,1
astutely,1,0
asunder,0,1
atrocious,0,1
atrocities,0,1
atrocity,0,1
atrophy,0,1
attack,0,1
attacks,0,1
attentive,1,0
attraction,1,0
attractive,1,0
attractively,1,0
attune,1,0
audacious,0,1
audaciously,0,1
audaciousness,0,1
audacity,0,1
audible,1,0
audibly,1,0
audiciously,0,1
auspicious,1,0
austere,0,1
authentic,1,0
authoritarian,0,1
authoritative,1,0
autocrat,0,1
autocratic,0,1
autonomous,1,0
available,1,0
avalanche,0,1
avarice,0,1
avaricious,0,1
avariciously,0,1
avenge,0,1
aver,1,0
averse,0,1
aversion,0,1
avid,1,0
avidly,1,0
award,1,0
awarded,1,0
awards,1,0
awe,1,0
awed,1,0
aweful,0,1
awesome,1,0
awesomely,1,0
awesomeness,1,0
awestruck,1,0
awful,0,1
awfully,0,1
awfulness,0,1
awkward,0,1
awkwardness,0,1
awsome,1,0
ax,0,1
babble,0,1
backache,0,1
backaches,0,1
backaching,0,1
backbite,0,1
backbiting,0,1
backbone,1,0
back-logged,0,1
backward,0,1
backwardness,0,1
backwood,0,1
back-wood,0,1
backwoods,0,1
back-woods,0,1
bad,0,1
badly,0,1
baffle,0,1
baffled,0,1
bafflement,0,1
baffling,0,1
bait,0,1
balanced,1,0
balk,0,1
banal,0,1
banalize,0,1
bane,0,1
banish,0,1
banishment,0,1
bankrupt,0,1
barbarian,0,1
barbaric,0,1
barbarically,0,1
barbarity,0,1
barbarous,0,1
barbarously,0,1
bargain,1,0
barren,0,1
baseless,0,1
bash,0,1
bashed,0,1
bashful,0,1
bashing,0,1
bastard,0,1
bastards,0,1
battered,0,1
battering,0,1
batty,0,1
bearish,0,1
beastly,0,1
beauteous,1,0
beautiful,1,0
beautifullly,1,0
beautifully,1,0
beautify,1,0
beauty,1,0
beckon,1,0
beckoned,1,0
beckoning,1,0
beckons,1,0
bedlam,0,1
bedlamite,0,1
befoul,0,1
beg,0,1
beggar,0,1
beggarly,0,1
begging,0,1
beguile,0,1
belabor,0,1
belated,0,1
beleaguer,0,1
belie,0,1
believable,1,0
believeable,1,0
belittle,0,1
belittled,0,1
belittling,0,1
bellicose,0,1
belligerence,0,1
belligerent,0,1
belligerently,0,1
beloved,1,0
bemoan,0,1
bemoaning,0,1
bemused,0,1
benefactor,1,0
beneficent,1,0
beneficial,1,0
beneficially,1,0
beneficiary,1,0
benefit,1,0
benefits,1,0
benevolence,1,0
benevolent,1,0
benifits,1,0
bent,0,1
berate,0,1
bereave,0,1
bereavement,0,1
bereft,0,1
berserk,0,1
beseech,0,1
beset,0,1
besiege,0,1
besmirch,0,1
best,1,0
bestial,0,1
best-known,1,0
best-performing,1,0
best-selling,1,0
betray,0,1
betrayal,0,1
betrayals,0,1
betrayer,0,1
betraying,0,1
betrays,0,1
better,1,0
better-known,1,0
better-than-expected,1,0
beutifully,1,0
bewail,0,1
beware,0,1
bewilder,0,1
bewildered,0,1
bewildering,0,1
bewilderingly,0,1
bewilderment,0,1
bewitch,0,1
bias,0,1
biased,0,1
biases,0,1
bicker,0,1
bickering,0,1
bid-rigging,0,1
bigotries,0,1
bigotry,0,1
bitch,0,1
bitchy,0,1
biting,0,1
bitingly,0,1
bitter,0,1
bitterly,0,1
bitterness,0,1
bizarre,0,1
blab,0,1
blabber,0,1
blackmail,0,1
blah,0,1
blame,0,1
blameless,1,0
blameworthy,0,1
bland,0,1
blandish,0,1
blaspheme,0,1
blasphemous,0,1
blasphemy,0,1
blasted,0,1
blatant,0,1
blatantly,0,1
blather,0,1
bleak,0,1
bleakly,0,1
bleakness,0,1
bleed,0,1
bleeding,0,1
bleeds,0,1
blemish,0,1
bless,1,0
blessing,1,0
blind,0,1
blinding,0,1
blindingly,0,1
blindside,0,1
bliss,1,0
blissful,1,0
blissfully,1,0
blister,0,1
blistering,0,1
blithe,1,0
bloated,0,1
blockage,0,1
blockbuster,1,0
blockhead,0,1
bloodshed,0,1
bloodthirsty,0,1
bloody,0,1
bloom,1,0
blossom,1,0
blotchy,0,1
blow,0,1
blunder,0,1
blundering,0,1
blunders,0,1
blunt,0,1
blur,0,1
bluring,0,1
blurred,0,1
blurring,0,1
blurry,0,1
blurs,0,1
blurt,0,1
boastful,0,1
boggle,0,1
bogus,0,1
boil,0,1
boiling,0,1
boisterous,0,1
bolster,1,0
bomb,0,1
bombard,0,1
bombardment,0,1
bombastic,0,1
bondage,0,1
bonkers,0,1
bonny,1,0
bonus,1,0
bonuses,1,0
boom,1,0
booming,1,0
boost,1,0
bore,0,1
bored,0,1
boredom,0,1
bores,0,1
boring,0,1
botch,0,1
bother,0,1
bothered,0,1
bothering,0,1
bothers,0,1
bothersome,0,1
boundless,1,0
bountiful,1,0
bowdlerize,0,1
boycott,0,1
braggart,0,1
bragger,0,1
brainiest,1,0
brainless,0,1
brainwash,0,1
brainy,1,0
brand-new,1,0
brash,0,1
brashly,0,1
brashness,0,1
brat,0,1
bravado,0,1
brave,1,0
bravery,1,0
bravo,1,0
brazen,0,1
brazenly,0,1
brazenness,0,1
breach,0,1
break,0,1
breakdown,0,1
breaking,0,1
breaks,0,1
breakthrough,1,0
breakthroughs,1,0
breakup,0,1
break-up,0,1
breakups,0,1
break-ups,0,1
breathlessness,1,0
breathtaking,1,0
breathtakingly,1,0
breeze,1,0
bribery,0,1
bright,1,0
brighten,1,0
brighter,1,0
brightest,1,0
brilliance,1,0
brilliances,1,0
brilliant,1,0
brilliantly,1,0
brimstone,0,1
brisk,1,0
bristle,0,1
brittle,0,1
broke,0,1
broken,0,1
broken-hearted,0,1
brood,0,1
brotherly,1,0
browbeat,0,1
bruise,0,1
bruised,0,1
bruises,0,1
bruising,0,1
brusque,0,1
brutal,0,1
brutalising,0,1
brutalities,0,1
brutality,0,1
brutalize,0,1
brutalizing,0,1
brutally,0,1
brute,0,1
brutish,0,1
bs,0,1
buckle,0,1
bug,0,1
bugging,0,1
buggy,0,1
bugs,0,1
bulkier,0,1
bulkiness,0,1
bulky,0,1
bulkyness,0,1
bull----,0,1
bull****,0,1
bullies,0,1
bullish,1,0
bullshit,0,1
bullshyt,0,1
bully,0,1
bullying,0,1
bullyingly,0,1
bum,0,1
bump,0,1
bumped,0,1
bumping,0,1
bumpping,0,1
bumps,0,1
bumpy,0,1
bungle,0,1
bungler,0,1
bungling,0,1
bunk,0,1
buoyant,1,0
burden,0,1
burdensome,0,1
burdensomely,0,1
burn,0,1
burned,0,1
burning,0,1
burns,0,1
bust,0,1
busts,0,1
busybody,0,1
butcher,0,1
butchery,0,1
buzzing,0,1
byzantine,0,1
cackle,0,1
cajole,1,0
calamities,0,1
calamitous,0,1
calamitously,0,1
calamity,0,1
callous,0,1
calm,1,0
calming,1,0
calmness,1,0
calumniate,0,1
calumniation,0,1
calumnies,0,1
calumnious,0,1
calumniously,0,1
calumny,0,1
cancer,0,1
cancerous,0,1
cannibal,0,1
cannibalize,0,1
capability,1,0
capable,1,0
capably,1,0
capitulate,0,1
capricious,0,1
capriciously,0,1
capriciousness,0,1
capsize,0,1
captivate,1,0
captivating,1,0
carefree,1,0
careless,0,1
carelessness,0,1
caricature,0,1
carnage,0,1
carp,0,1
cartoonish,0,1
cashback,1,0
cashbacks,1,0
cash-strapped,0,1
castigate,0,1
castrated,0,1
casualty,0,1
cataclysm,0,1
cataclysmal,0,1
cataclysmic,0,1
cataclysmically,0,1
catastrophe,0,1
catastrophes,0,1
catastrophic,0,1
catastrophically,0,1
catastrophies,0,1
catchy,1,0
caustic,0,1
caustically,0,1
cautionary,0,1
cave,0,1
celebrate,1,0
celebrated,1,0
celebration,1,0
celebratory,1,0
censure,0,1
chafe,0,1
chaff,0,1
chagrin,0,1
challenging,0,1
champ,1,0
champion,1,0
chaos,0,1
chaotic,0,1
charisma,1,0
charismatic,1,0
charitable,1,0
charm,1,0
charming,1,0
charmingly,1,0
chaste,1,0
chasten,0,1
chastise,0,1
chastisement,0,1
chatter,0,1
chatterbox,0,1
cheap,0,1
cheapen,0,1
cheaper,1,0
cheapest,1,0
cheaply,0,1
cheat,0,1
cheated,0,1
cheater,0,1
cheating,0,1
cheats,0,1
checkered,0,1
cheer,1,0
cheerful,1,0
cheerless,0,1
cheery,1,0
cheesy,0,1
cherish,1,0
cherished,1,0
cherub,1,0
chic,1,0
chide,0,1
childish,0,1
chill,0,1
chilly,0,1
chintzy,0,1
chivalrous,1,0
chivalry,1,0
choke,0,1
choleric,0,1
choppy,0,1
chore,0,1
chronic,0,1
chunky,0,1
civility,1,0
civilize,1,0
clamor,0,1
clamorous,0,1
clarity,1,0
clash,0,1
classic,1,0
classy,1,0
clean,1,0
cleaner,1,0
cleanest,1,0
cleanliness,1,0
cleanly,1,0
clear,1,0
clear-cut,1,0
cleared,1,0
clearer,1,0
clearly,1,0
clears,1,0
clever,1,0
cleverly,1,0
cliche,0,1
cliched,0,1
clique,0,1
clog,0,1
clogged,0,1
clogs,0,1
cloud,0,1
clouding,0,1
cloudy,0,1
clueless,0,1
clumsy,0,1
clunky,0,1
coarse,0,1
cocky,0,1
coerce,0,1
coercion,0,1
coercive,0,1
cohere,1,0
coherence,1,0
coherent,1,0
cohesive,1,0
cold,0,1
coldly,0,1
collapse,0,1
collude,0,1
collusion,0,1
colorful,1,0
combative,0,1
combust,0,1
comely,1,0
comfort,1,0
comfortable,1,0
comfortably,1,0
comforting,1,0
comfy,1,0
comical,0,1
commend,1,0
commendable,1,0
commendably,1,0
commiserate,0,1
commitment,1,0
commodious,1,0
commonplace,0,1
commotion,0,1
commotions,0,1
compact,1,0
compactly,1,0
compassion,1,0
compassionate,1,0
compatible,1,0
competitive,1,0
complacent,0,1
complain,0,1
complained,0,1
complaining,0,1
complains,0,1
complaint,0,1
complaints,0,1
complement,1,0
complementary,1,0
complemented,1,0
complements,1,0
complex,0,1
compliant,1,0
complicated,0,1
complication,0,1
complicit,0,1
compliment,1,0
complimentary,1,0
comprehensive,1,0
compulsion,0,1
compulsive,0,1
concede,0,1
conceded,0,1
conceit,0,1
conceited,0,1
concen,0,1
concens,0,1
concern,0,1
concerned,0,1
concerns,0,1
concession,0,1
concessions,0,1
conciliate,1,0
conciliatory,1,0
concise,1,0
condemn,0,1
condemnable,0,1
condemnation,0,1
condemned,0,1
condemns,0,1
condescend,0,1
condescending,0,1
condescendingly,0,1
condescension,0,1
confess,0,1
confession,0,1
confessions,0,1
confidence,1,0
confident,1,0
confined,0,1
conflict,0,1
conflicted,0,1
conflicting,0,1
conflicts,0,1
confound,0,1
confounded,0,1
confounding,0,1
confront,0,1
confrontation,0,1
confrontational,0,1
confuse,0,1
confused,0,1
confuses,0,1
confusing,0,1
confusion,0,1
confusions,0,1
congenial,1,0
congested,0,1
congestion,0,1
congratulate,1,0
congratulation,1,0
congratulations,1,0
congratulatory,1,0
cons,0,1
conscientious,1,0
conscons,0,1
conservative,0,1
considerate,1,0
consistent,1,0
consistently,1,0
conspicuous,0,1
conspicuously,0,1
conspiracies,0,1
conspiracy,0,1
conspirator,0,1
conspiratorial,0,1
conspire,0,1
consternation,0,1
constructive,1,0
consummate,1,0
contagious,0,1
contaminate,0,1
contaminated,0,1
contaminates,0,1
contaminating,0,1
contamination,0,1
contempt,0,1
contemptible,0,1
contemptuous,0,1
contemptuously,0,1
contend,0,1
contention,0,1
contentious,0,1
contentment,1,0
continuity,1,0
contort,0,1
contortions,0,1
contradict,0,1
contradiction,0,1
contradictory,0,1
contrariness,0,1
contrasty,1,0
contravene,0,1
contribution,1,0
contrive,0,1
contrived,0,1
controversial,0,1
controversy,0,1
convenience,1,0
convenient,1,0
conveniently,1,0
convience,1,0
convienient,1,0
convient,1,0
convincing,1,0
convincingly,1,0
convoluted,0,1
cool,1,0
coolest,1,0
cooperative,1,0
cooperatively,1,0
cornerstone,1,0
correct,1,0
correctly,1,0
corrode,0,1
corrosion,0,1
corrosions,0,1
corrosive,0,1
corrupt,0,1
corrupted,0,1
corrupting,0,1
corruption,0,1
corrupts,0,1
corruptted,0,1
cost-effective,1,0
costlier,0,1
costly,0,1
cost-saving,1,0
counter-attack,1,0
counter-attacks,1,0
counterproductive,0,1
counter-productive,0,1
coupists,0,1
courage,1,0
courageous,1,0
courageously,1,0
courageousness,1,0
courteous,1,0
courtly,1,0
covenant,1,0
covetous,0,1
coward,0,1
cowardly,0,1
cozy,1,0
crabby,0,1
crack,0,1
cracked,0,1
cracks,0,1
craftily,0,1
craftly,0,1
crafty,0,1
cramp,0,1
cramped,0,1
cramping,0,1
cranky,0,1
crap,0,1
crappy,0,1
craps,0,1
crash,0,1
crashed,0,1
crashes,0,1
crashing,0,1
crass,0,1
craven,0,1
cravenly,0,1
craze,0,1
crazily,0,1
craziness,0,1
crazy,0,1
creak,0,1
creaking,0,1
creaks,0,1
creative,1,0
credence,1,0
credible,1,0
credulous,0,1
creep,0,1
creeping,0,1
creeps,0,1
creepy,0,1
crept,0,1
crime,0,1
criminal,0,1
cringe,0,1
cringed,0,1
cringes,0,1
cripple,0,1
crippled,0,1
cripples,0,1
crippling,0,1
crisis,0,1
crisp,1,0
crisper,1,0
critic,0,1
critical,0,1
criticism,0,1
criticisms,0,1
criticize,0,1
criticized,0,1
criticizing,0,1
critics,0,1
cronyism,0,1
crook,0,1
crooked,0,1
crooks,0,1
crowded,0,1
crowdedness,0,1
crude,0,1
cruel,0,1
crueler,0,1
cruelest,0,1
cruelly,0,1
cruelness,0,1
cruelties,0,1
cruelty,0,1
crumble,0,1
crumbling,0,1
crummy,0,1
crumple,0,1
crumpled,0,1
crumples,0,1
crush,0,1
crushed,0,1
crushing,0,1
cry,0,1
culpable,0,1
culprit,0,1
cumbersome,0,1
cunt,0,1
cunts,0,1
cuplrit,0,1
cure,1,0
cure-all,1,0
curse,0,1
cursed,0,1
curses,0,1
curt,0,1
cushy,1,0
cuss,0,1
cussed,0,1
cute,1,0
cuteness,1,0
cutthroat,0,1
cynical,0,1
cynicism,0,1
d*mn,0,1
damage,0,1
damaged,0,1
damages,0,1
damaging,0,1
damn,0,1
damnable,0,1
damnably,0,1
damnation,0,1
damned,0,1
damning,0,1
damper,0,1
danger,0,1
dangerous,0,1
dangerousness,0,1
danke,1,0
danken,1,0
daring,1,0
daringly,1,0
dark,0,1
darken,0,1
darkened,0,1
darker,0,1
darkness,0,1
darling,1,0
dashing,1,0
dastard,0,1
dastardly,0,1
daunt,0,1
daunting,0,1
dauntingly,0,1
dauntless,1,0
dawdle,0,1
dawn,1,0
daze,0,1
dazed,0,1
dazzle,1,0
dazzled,1,0
dazzling,1,0
dead,0,1
deadbeat,0,1
dead-cheap,1,0
deadlock,0,1
deadly,0,1
dead-on,1,0
deadweight,0,1
deaf,0,1
dearth,0,1
death,0,1
debacle,0,1
debase,0,1
debasement,0,1
debaser,0,1
debatable,0,1
debauch,0,1
debaucher,0,1
debauchery,0,1
debilitate,0,1
debilitating,0,1
debility,0,1
debt,0,1
debts,0,1
decadence,0,1
decadent,0,1
decay,0,1
decayed,0,1
deceit,0,1
deceitful,0,1
deceitfully,0,1
deceitfulness,0,1
deceive,0,1
deceiver,0,1
deceivers,0,1
deceiving,0,1
decency,1,0
decent,1,0
deception,0,1
deceptive,0,1
deceptively,0,1
decisive,1,0
decisiveness,1,0
declaim,0,1
decline,0,1
declines,0,1
declining,0,1
decrement,0,1
decrepit,0,1
decrepitude,0,1
decry,0,1
dedicated,1,0
defamation,0,1
defamations,0,1
defamatory,0,1
defame,0,1
defeat,1,0
defeated,1,0
defeating,1,0
defeats,1,0
defect,0,1
defective,0,1
defects,0,1
defender,1,0
defensive,0,1
deference,1,0
defiance,0,1
defiant,0,1
defiantly,0,1
deficiencies,0,1
deficiency,0,1
deficient,0,1
defile,0,1
defiler,0,1
deform,0,1
deformed,0,1
defrauding,0,1
deft,1,0
defunct,0,1
defy,0,1
degenerate,0,1
degenerately,0,1
degeneration,0,1
deginified,1,0
degradation,0,1
degrade,0,1
degrading,0,1
degradingly,0,1
dehumanization,0,1
dehumanize,0,1
deign,0,1
deject,0,1
dejected,0,1
dejectedly,0,1
dejection,0,1
delay,0,1
delayed,0,1
delaying,0,1
delays,0,1
delectable,1,0
delicacy,1,0
delicate,1,0
delicious,1,0
delight,1,0
delighted,1,0
delightful,1,0
delightfully,1,0
delightfulness,1,0
delinquency,0,1
delinquent,0,1
delirious,0,1
delirium,0,1
delude,0,1
deluded,0,1
deluge,0,1
delusion,0,1
delusional,0,1
delusions,0,1
demean,0,1
demeaning,0,1
demise,0,1
demolish,0,1
demolisher,0,1
demon,0,1
demonic,0,1
demonize,0,1
demonized,0,1
demonizes,0,1
demonizing,0,1
demoralize,0,1
demoralizing,0,1
demoralizingly,0,1
denial,0,1
denied,0,1
denies,0,1
